fault,root_cause,start_ts,end_ts
cpu_saturation,actor-service,1785261347.826,1785261527.827
memory_leak,movie-service,1785261648.215,1785261828.215
normal,,1785261948.409,1785262068.409
network_partition,movie-service,1785262068.591,1785262248.592
normal,,1785262368.783,1785262488.783
cpu_saturation,actor-service,1785262488.968,1785262668.969
normal,,1785262789.156,1785262909.156
normal,,1785262909.157,1785263029.157
network_partition,movie-service,1785263029.322,1785263209.322
normal,,1785263329.510,1785263449.510
network_partition,movie-service,1785263449.682,1785263629.683
pod_kill,actor-service,1785263750.044,1785263930.044
