alpha,r3_amplitude,config,n_future,adapt_events,offline_static_f1,offline_static_precision,offline_static_recall,offline_static_auc,offline_periodic_f1,offline_periodic_precision,offline_periodic_recall,offline_periodic_auc,online_adaptive_f1,online_adaptive_precision,online_adaptive_recall,online_adaptive_auc
0.0,1.0,C1,25920,5,0.8899,0.9399,0.8449,0.9701,0.8849,0.9342,0.8406,0.9677,0.8154,0.8756,0.7629,0.9495
0.15,1.1474,C1,25920,5,0.83,0.7759,0.8923,0.965,0.8804,0.9175,0.8462,0.9675,0.8152,0.8768,0.7617,0.9499
0.3,1.294,C1,25920,5,0.6823,0.5418,0.9212,0.9461,0.8666,0.8877,0.8464,0.9653,0.8152,0.8756,0.7626,0.9496
0.5,1.4887,C1,25920,5,0.5108,0.3501,0.944,0.8987,0.8516,0.8583,0.8451,0.9614,0.8143,0.8749,0.7615,0.9498
0.7,1.6827,C1,25920,7,0.4207,0.2691,0.9636,0.8425,0.8365,0.8318,0.8412,0.9577,0.8134,0.8747,0.7602,0.9502
0.85,1.8278,C1,25920,7,0.3831,0.2387,0.9702,0.8034,0.8263,0.8149,0.8381,0.9544,0.8132,0.8737,0.7606,0.9502
1.0,1.9728,C1,25920,7,0.3602,0.2207,0.9797,0.767,0.8204,0.8057,0.8356,0.9522,0.813,0.8732,0.7606,0.9503
1.3,2.2623,C1,25920,6,0.3329,0.2003,0.9858,0.709,0.8126,0.7941,0.832,0.9486,0.8129,0.874,0.7597,0.9495
0.0,1.0,C4,25920,0,0.9886,0.9923,0.9849,0.9991,0.9854,0.9877,0.9831,0.9992,0.9768,0.9893,0.9645,0.9981
0.15,1.1474,C4,25920,0,0.9334,0.8791,0.9948,0.9991,0.9817,0.98,0.9835,0.999,0.9768,0.9889,0.965,0.9982
0.3,1.294,C4,25920,0,0.769,0.6257,0.9975,0.9965,0.9735,0.9639,0.9833,0.9987,0.9766,0.9887,0.9648,0.9982
0.5,1.4887,C4,25920,0,0.5458,0.3755,0.9986,0.9809,0.9538,0.9284,0.9806,0.9973,0.976,0.9882,0.9641,0.9981
0.7,1.6827,C4,25920,0,0.4377,0.2803,0.9989,0.9419,0.9377,0.8994,0.9794,0.9951,0.9759,0.988,0.9641,0.998
0.85,1.8278,C4,25920,0,0.395,0.2462,0.9993,0.9009,0.9308,0.8882,0.9776,0.993,0.9759,0.9877,0.9643,0.9979
1.0,1.9728,C4,25920,0,0.3705,0.2274,0.9995,0.858,0.9255,0.8799,0.9761,0.991,0.9755,0.9873,0.9641,0.9979
1.3,2.2623,C4,25920,0,0.3414,0.2059,0.9995,0.7869,0.9208,0.8732,0.9738,0.988,0.9755,0.9875,0.9639,0.998
