t_center,regime,regime_name,offline_static_f1,offline_periodic_f1,online_adaptive_f1,config
1745,1,R1 latency regression,0.48,0.48,0.9037037037037037,C1
1995,1,R1 latency regression,0.29343629343629346,0.29343629343629346,0.8169014084507042,C1
2245,1,R1 latency regression,0.617737003058104,0.9054726368159204,0.8795811518324608,C1
2495,1,R1 latency regression,0.31496062992125984,0.72,0.8192771084337349,C1
2745,1,R1 latency regression,0.3861003861003861,0.8737864077669902,0.8817204301075269,C1
2995,1,R1 latency regression,0.09174311926605505,0.5454545454545454,0.8,C1
3245,2,R2 scale-out,0.062111801242236024,0.15,0.75,C1
3495,2,R2 scale-out,0.3708609271523179,0.4,0.6923076923076923,C1
3745,2,R2 scale-out,0.4472049689440994,0.5306122448979592,0.7761194029850746,C1
3995,2,R2 scale-out,0.5701357466063348,0.7962962962962963,0.9016393442622951,C1
4245,2,R2 scale-out,0.22377622377622378,0.7878787878787878,0.7027027027027027,C1
4495,2,R2 scale-out,0.5294117647058824,0.825,0.8235294117647058,C1
4745,2,R2 scale-out,0.4114285714285714,0.7894736842105263,0.8157894736842105,C1
4995,3,R3 combined load,0.0,0.0,0.0,C1
5245,3,R3 combined load,0.07086614173228346,0.2,0.46153846153846156,C1
5495,3,R3 combined load,0.3624161073825503,0.10344827586206896,0.7843137254901961,C1
5745,3,R3 combined load,0.2426470588235294,0.7936507936507936,0.8307692307692308,C1
5995,3,R3 combined load,0.0,0.0,0.0,C1
6245,3,R3 combined load,0.38688524590163936,0.8648648648648649,0.8928571428571429,C1
6425,3,R3 combined load,0.5103448275862069,0.8823529411764706,0.8888888888888888,C1
