config,name,model,segment,regime,precision,recall,f1,auc_roc,n
C1,Metrics-Only,offline_static,overall_future,-1,0.22065106815869787,0.9796747967479674,0.36017934241115906,0.7670003594539327,25920
C1,Metrics-Only,offline_periodic,overall_future,-1,0.8057491289198606,0.8355916892502259,0.8203991130820399,0.95216613131064,25920
C1,Metrics-Only,online_adaptive,overall_future,-1,0.8732175265750584,0.7606142728093948,0.8130356065178033,0.9502647757338668,25920
C1,Metrics-Only,offline_full,overall_allregimes,-1,0.9143686502177069,0.7308584686774942,0.8123791102514507,0.951716438101721,10368
C1,Metrics-Only,offline_static,R1 latency regression,1,0.18842364532019704,0.9892241379310345,0.31655172413793103,0.7288537087519982,8640
C1,Metrics-Only,offline_periodic,R1 latency regression,1,0.6903376018626309,0.8520114942528736,0.7627009646302251,0.939291219456497,8640
C1,Metrics-Only,online_adaptive,R1 latency regression,1,0.8539419087136929,0.7392241379310345,0.7924528301886793,0.9464544123150898,8640
C1,Metrics-Only,offline_static,R2 scale-out,2,0.3317984139166027,0.9480994152046783,0.4915671783210157,0.9194624780460503,8640
C1,Metrics-Only,offline_periodic,R2 scale-out,2,0.9197635135135135,0.7960526315789473,0.853448275862069,0.9615593275336307,8640
C1,Metrics-Only,online_adaptive,R2 scale-out,2,0.8832360300250208,0.7741228070175439,0.8250876509544215,0.9527675446638232,8640
C1,Metrics-Only,offline_static,R3 combined load,3,0.19708634371668837,0.9976019184652278,0.3291464741370784,0.6902790160298611,8640
C1,Metrics-Only,offline_periodic,R3 combined load,3,0.8431952662721893,0.85431654676259,0.848719475878499,0.9577935328157441,8640
C1,Metrics-Only,online_adaptive,R3 combined load,3,0.88093599449415,0.7673860911270983,0.8202499198974688,0.9511965298673282,8640
C2,Metrics + Logs,offline_static,overall_future,-1,0.220986902223576,0.9830623306233063,0.36085550857995524,0.7537565342268907,25920
C2,Metrics + Logs,offline_periodic,overall_future,-1,0.8131868131868132,0.8523035230352304,0.8322858087992061,0.9600427938060944,25920
C2,Metrics + Logs,online_adaptive,overall_future,-1,0.8782652802434694,0.7820686540198736,0.827380241309282,0.9553138908769818,25920
C2,Metrics + Logs,offline_full,overall_allregimes,-1,0.9187817258883249,0.7349187935034803,0.8166290686432485,0.9563130911185528,10368
C2,Metrics + Logs,offline_static,R1 latency regression,1,0.18908941755537326,0.9935344827586207,0.3177119228118539,0.7321770095912309,8640
C2,Metrics + Logs,offline_periodic,R1 latency regression,1,0.7051654091700522,0.8728448275862069,0.7800963081861958,0.947685330554921,8640
C2,Metrics + Logs,online_adaptive,R1 latency regression,1,0.8624078624078624,0.7564655172413793,0.8059701492537313,0.950856637423562,8640
C2,Metrics + Logs,offline_static,R2 scale-out,2,0.33021728145528045,0.9554093567251462,0.490799849793466,0.9196864405007752,8640
C2,Metrics + Logs,offline_periodic,R2 scale-out,2,0.9126853377265239,0.8099415204678363,0.8582494190549961,0.9710576777707011,8640
C2,Metrics + Logs,online_adaptive,R2 scale-out,2,0.8934092758340114,0.8026315789473685,0.8455910666153253,0.9586010227484735,8640
C2,Metrics + Logs,offline_static,R3 combined load,3,0.1973652978874911,0.9970023980815348,0.3295026748563503,0.7084053927254065,8640
C2,Metrics + Logs,offline_periodic,R3 combined load,3,0.8515258215962441,0.8699040767386091,0.8606168446026097,0.9642837795168342,8640
C2,Metrics + Logs,online_adaptive,R3 combined load,3,0.8787675820495646,0.7865707434052758,0.8301170515659602,0.9560638924316655,8640
C3,Metrics + Logs + Traces,offline_static,overall_future,-1,0.22707445989634115,0.9993224932249323,0.3700606314028852,0.8582035304075666,25920
C3,Metrics + Logs + Traces,offline_periodic,overall_future,-1,0.8786091907279382,0.9758355916892503,0.9246736571795421,0.9908389107116767,25920
C3,Metrics + Logs + Traces,online_adaptive,overall_future,-1,0.9854301572617946,0.9622854561878952,0.9737202925045704,0.9975240676936828,25920
C3,Metrics + Logs + Traces,offline_full,overall_allregimes,-1,0.9775928297055058,0.8857308584686775,0.9293974437005478,0.9932405536450319,10368
C3,Metrics + Logs + Traces,offline_static,R1 latency regression,1,0.17768700536124585,1.0,0.3017559072187297,0.8244012716151582,8640
C3,Metrics + Logs + Traces,offline_periodic,R1 latency regression,1,0.7579933847850056,0.9877873563218391,0.8577666874610106,0.9799415038789931,8640
C3,Metrics + Logs + Traces,online_adaptive,R1 latency regression,1,0.9845360824742269,0.9604885057471264,0.9723636363636363,0.9973859217604223,8640
C3,Metrics + Logs + Traces,offline_static,R2 scale-out,2,0.4253661576815207,0.9978070175438597,0.5964605636880053,0.9903474494013729,8640
C3,Metrics + Logs + Traces,offline_periodic,R2 scale-out,2,0.9848599545798638,0.9510233918128655,0.9676459650427668,0.9980243958240854,8640
C3,Metrics + Logs + Traces,online_adaptive,R2 scale-out,2,0.990984222389181,0.9641812865497076,0.977399036680252,0.9974828349062976,8640
C3,Metrics + Logs + Traces,offline_static,R3 combined load,3,0.19753671245855045,1.0,0.3299050632911392,0.8398602546534202,8640
C3,Metrics + Logs + Traces,offline_periodic,R3 combined load,3,0.9226023555804823,0.9862110311750599,0.9533468559837728,0.9966488083199533,8640
C3,Metrics + Logs + Traces,online_adaptive,R3 combined load,3,0.981651376146789,0.9622302158273381,0.971843778383288,0.9978004687472053,8640
C4,Full MELT,offline_static,overall_future,-1,0.2273824813768302,0.9995483288166215,0.37048507931193236,0.8579924531486769,25920
C4,Full MELT,offline_periodic,overall_future,-1,0.879885993485342,0.9760614272809395,0.9254817987152034,0.9910164993221989,25920
C4,Full MELT,online_adaptive,overall_future,-1,0.9872802960222017,0.9640921409214093,0.9755484460694699,0.9978676231873679,25920
